,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,Прогоны,,"ПСУ 250х80-2,0",6000,180,1080,"7,2","7 776,00",,,,,,,,6,Распорка фермы,Рс.ф,"ПСУ 250х80-2,0",6000,10,60,"7,2","432,00",,,,,,,Сжатый раскос фермы 4,СР.ф.4,"ПСУ 150х47/41-2,0",2000,72,144,"4,11","591,84"
,,,1,Колонна,К,"ПСУ 300х80-2,5",7000,44,308,10,"3 080,00",,,,,,,,,,,,,,,,,,,,,,,Сжатый раскос фермы 4,СР.ф.4,"ПСУ 150х47/41-2,0",1800,36,"64,8","4,11","266,33"
,,,2,Ригель/распорка,Р,"ПСУ 300х80-2,0",6000,80,480,8,"3 840,00",,,,,,,,7,Прогоны,Пр,"ПСУ 250х80-2,0",6000,140,840,"7,2","6 048,00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,8,Колонна,К,"ЛСЖ 250х100-3,0",7000,44,308,"11,6","3 572,80",,,,,,,Распорка на фермы,Р.ф,"ПСУ 250х80х2,0",6000,48,288,"7,1","2 044,80"
,,,#REF!,Стойка фахв.2,Ст.ф2,"ПСУ 300х80-2,5",8900,4,"35,6",10,"356,00",,,,,,,,9,,,,,,,,,,,,,,,Колонна,К,"ПСУ 300х80х2,0",7000,44,308,8,"2 464,00"
,,,,Стойка фахв.2,Ст.ф2,"ПСУ 300х80-2,5",8000,8,64,10,"640,00",,,,,,,,9,Ригель,Р,"ПСУ 250х80-2,0",6000,80,480,"7,2","3 456,00",,,,,,,Колонна,К,"ЛСЖ 300х100х2,5",10250,22,"225,5","10,6","2 390,30"
,,,#REF!,Стойка ворота,Ст.в.,"ПСУ 300х80-2,0",4500,4,18,8,"144,00",,,,,,,,10,Стойка фахв.1,Ст.ф1,"ПСУ 250х80-2,5",8100,8,"64,8",9,"583,20",,,,,,,Прогоны,Пр,"ПСУ 250х80х2,0",6000,260,1560,"7,1","11 076,00"
,,,#REF!,Стойка окно,Р.ф1,"ПСУ 300х80-2,0",1200,8,"9,6",8,"76,80",,,,,,,,,,,,,,,,,,,,,,,Ригель/распорка,Р,"ПСУ 300х80х2,0",6000,100,600,8,"4 800,00"
,,,,Стойка дверь,Р.ф1,"ПСУ 300х80-2,0",2100,4,"8,4",8,"67,20",,,,,,,,1,Ригель фахв.1,Р.ф1,"ПСУ 250х80-2,0",6000,24,144,"7,2","1 036,80",,,,,,,Стойка фахв.1,Ст.ф1,"ПСУ 300х80х2,0",8600,8,"68,8",8,"550,40"
,,,,Ригель фахв.1,,"ПСУ 300х80-2,0",6000,32,192,8,"1 536,00",,,,,,,,,Стойка ворота,,"ПСУ 250х80-2,0",5000,4,20,"7,2","144,00",,,,,,,Стойка фахв.1,Ст.ф1,"ПСУ 300х80х2,0",8000,8,64,8,"512,00"
