,,Наименование,,Цена руб/1 м2,,,
,,Профлист,м2,1100,,Sстен,.=ширина х высоту х 2 + длина х высоту х 2 + 2 м(высота конька) х ширину
,,Сэндвич,м2,3300,,,
,,,,,,S кровли,".= (ширна х1,2) х (длина+1 м)"
